dimension,n_points,dataset,method,support_error,volume_ratio,volume_true,volume_approx,membership_acc,runtime_ms,n_vertices,status
5,200,anisotropic_cond100,DeepHull-original,10.305685251034323,0.8859649122807015,43590336.315600015,38619508.49013685,0.9926,5110.610376112163,172,ok
5,200,anisotropic_cond100,DeepHull-convex,0.0,1.0,41391700.93126053,41391700.93126053,1.0,9469.549647066742,200,ok
5,200,gaussian,Extents,0.05408272310286155,0.9835526315789473,27.666559396715677,27.211517301374958,0.999,16.368133947253227,63,ok
5,200,gaussian,MVEE,0.1167873479952779,0.9860335195530725,32.58101402639544,32.125971931054714,0.9992,202.442507725209,62,ok
5,200,gaussian,DeepHull-original,0.7772599493531465,0.7789115646258503,26.756475206034242,20.8409279666049,0.9848,6719.189037103206,159,ok
5,200,gaussian,DeepHull-convex,0.0,1.0,33.764123474281305,33.764123474281305,1.0,9611.10363015905,200,ok
5,500,uniform_cube,Extents,0.06353552831090892,0.985251798561151,17.53172711784951,17.273165674744533,0.9876,26.141603011637926,135,ok
5,500,uniform_cube,MVEE,0.030848433902755046,0.9808664259927796,17.46866335123854,17.1344253882004,0.9896,770.9883050993085,144,ok
5,500,uniform_cube,DeepHull-original,0.8507099257356566,0.4278444202108324,17.348842194677697,7.422605330111105,0.6758,11592.336070723832,150,ok
5,500,uniform_cube,DeepHull-convex,0.0,1.0,17.266859298083435,17.266859298083435,1.0,19609.07440027222,500,ok
5,500,anisotropic_cond1,Extents,0.04016433721660739,0.9905437352245863,788.7789172667415,781.320014975803,0.9996,53.441114258021116,86,ok
5,500,anisotropic_cond1,MVEE,0.11091523124027969,0.9798488664987404,740.2960523756416,725.3782477937646,0.999,678.4456400200725,81,ok
5,500,anisotropic_cond1,DeepHull-original,1.767096363626488,0.531328320802005,744.0255035211107,395.32182141973806,0.961,11273.503481876105,150,ok
5,500,anisotropic_cond1,DeepHull-convex,0.0,1.0,742.1607779483762,742.1607779483762,1.0,20154.08791601658,500,ok
5,500,anisotropic_cond10,Extents,0.6994595195986166,0.8636363636363638,206098.50119714992,177994.16012481131,0.9876,124.48960402980447,73,ok
5,500,anisotropic_cond10,MVEE,2.918090240294056,0.9481132075471699,198604.0102445263,188299.0851846688,0.9964,767.325468827039,87,ok
5,500,anisotropic_cond10,DeepHull-original,8.64524903599872,0.5644444444444445,210782.5580425397,118975.04387290019,0.9608,13929.44564530626,146,ok
5,500,gaussian,Extents,0.09882147997281576,0.9576470588235294,62.41358272159807,59.77018392397744,0.995,52.77907568961382,78,ok
5,500,gaussian,MVEE,0.30217610561239594,0.956120092378753,63.58842663165167,60.79817234527435,0.996,797.1484176814556,81,ok
5,500,gaussian,DeepHull-original,0.926442825173772,0.5235849056603773,62.26672723284137,32.6019185039877,0.9574,11274.363158736378,161,ok
5,500,gaussian,DeepHull-convex,0.0,1.0,69.75635715943314,69.75635715943314,1.0,20954.20212810859,500,ok
5,500,anisotropic_cond10,DeepHull-convex,0.0,1.0,192907.74018937495,192907.74018937495,1.0,20270.797512028366,500,ok
5,500,anisotropic_cond100,Extents,1.0206456215798543,0.35937500000000006,60421159.364712946,21713854.146693718,0.9546,104.24783267080784,39,ok
5,500,anisotropic_cond100,MVEE,12.492345765912486,0.2547945205479452,57431570.75031309,14633249.533641418,0.9406,758.283328730613,25,ok
5,500,anisotropic_cond100,DeepHull-original,35.02787133903697,0.5294117647058824,58847691.67292356,31154660.29743012,0.9576,12515.110563952476,147,ok
5,500,anisotropic_cond100,DeepHull-convex,0.0,1.0,54914022.443450056,54914022.443450056,1.0,21167.757309041917,500,ok
5,1000,uniform_cube,Extents,0.08595205255578664,0.972133526850508,21.79897980880682,21.191519123278386,0.9798,33.42761704698205,155,ok
5,1000,uniform_cube,MVEE,0.043416838705279126,0.9846851956891662,22.31152476222144,21.969828126611695,0.9858,5808.042387943715,188,ok
